StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-60,-55,-63,-86,-73,-72,-86,-89,0,-55,-58
-60,-54,-70,-74,-68,-79,-86,-89,0,-51,-53
-60,-54,-76,-74,-76,-72,-86,-89,0,-53,-53
-60,-54,-68,-74,-68,-71,-88,-89,0,-50,-53
-61,-57,-80,-78,-71,-72,-84,-89,0,-53,-56
-61,-52,-78,-78,-74,-78,-81,-88,0,-59,-57
-61,-51,-74,-78,-76,-75,-81,-88,0,-59,-56
-53,-49,-71,-64,-68,-81,-81,-88,0,-59,-54
-71,-56,-84,-75,-74,-74,-79,-88,0,-61,-60
-71,-51,-69,-77,-71,-71,-78,-88,0,-61,-60
-71,-51,-67,-77,-74,-82,-78,-88,0,-57,-56
-71,-53,-73,-87,-77,-80,-78,-88,0,-59,-60
-71,-48,-76,-69,-81,-73,-79,-88,0,-59,-60
-67,-59,-73,-69,-77,-82,-81,-88,0,-59,-60
-67,-55,-67,-69,-73,-75,-86,-88,0,-67,-66
-67,-52,-75,-74,-73,-77,-84,-88,0,-56,-57
-67,-48,-79,-74,-71,-75,-82,-88,0,-64,-63
-64,-47,-81,-69,-81,-87,-82,-88,0,-67,-65
-64,-55,-85,-83,-79,-74,-77,-88,0,-62,-61
-64,-55,-77,-83,-79,-71,-84,-88,0,-52,-53
-62,-55,-82,-70,-79,-77,-84,-88,0,-54,-54
-71,-57,-86,-77,-73,-78,-80,-88,0,-54,-54
-71,-49,-70,-77,-76,-75,-79,-88,0,-67,-54
-70,-49,-86,-77,-76,-89,-83,-88,0,-58,-59
-68,-54,-82,-75,-82,-81,-76,-88,0,-58,-65
-68,-49,-80,-72,-82,-79,-75,-88,0,-62,-65
-68,-44,-89,-66,-75,-78,-75,-88,0,-66,-64
-68,-51,-75,-79,-74,-77,-86,-88,0,-56,-54
-68,-52,-67,-71,-71,-87,-86,-88,0,-60,-60
-68,-49,-83,-71,-81,-86,-75,-88,0,-68,-68
-65,-46,-87,-67,-79,-82,-76,-88,0,-68,-65
-62,-54,-83,-72,-79,-84,-76,-88,0,-67,-67
-62,-47,-88,-72,-79,-84,-72,-88,0,-67,-69
-65,-50,-77,-72,-79,-77,-77,-88,0,-67,-69
-67,-51,-82,-72,-76,-87,-77,-88,0,-67,-69
-67,-51,-76,-71,-76,-80,-78,-88,0,-63,-64
-67,-52,-83,-71,-76,-77,-90,-88,0,-63,-59
-72,-52,-83,-67,-71,-79,-75,-88,0,-63,-59
-72,-54,-71,-67,-79,-90,-74,-88,0,-61,-63
-72,-58,-77,-67,-75,-74,-87,-88,0,-53,-51
-68,-47,-85,-70,-70,-81,-85,-88,0,-53,-51
-68,-55,-86,-74,-77,-82,-84,-88,0,-57,-51
-68,-54,-85,-79,-77,-88,-81,-88,0,-63,-62
-68,-49,-72,-82,-82,-75,-79,-88,0,-63,-66
-68,-50,-85,-71,-82,-77,-84,-88,0,-63,-66
-68,-47,-79,-71,-82,-81,-86,-88,0,-60,-59
-68,-56,-75,-86,-82,-81,-79,-88,0,-61,-59
-71,-56,-73,-80,-72,-80,-85,-88,0,-57,-59
-71,-65,-86,-77,-70,-84,-77,-88,0,-60,-57
-71,-60,-67,-77,-76,-81,-81,-88,0,-60,-59
-71,-59,-78,-80,-70,-75,-81,-88,0,-53,-59
-74,-59,-70,-79,-77,-79,-81,-88,0,-59,-59
-74,-47,-72,-79,-67,-67,-88,-88,0,-60,-60
-74,-47,-71,-79,-67,-79,-77,-89,0,-49,-49
-70,-55,-77,-79,-71,-87,-81,-89,0,-59,-60
-70,-56,-82,-79,-73,-75,-77,-89,0,-58,-55
-70,-53,-75,-79,-82,-71,-81,-89,0,-58,-55
-67,-53,-73,-79,-78,-83,-82,-89,0,-57,-55
-67,-50,-77,-78,-79,-87,-84,-89,0,-57,-55
-67,-52,-70,-77,-70,-82,-84,-89,0,-56,-56
-71,-51,-82,-82,-76,-79,-84,-89,0,-60,-56
-63,-51,-76,-67,-78,-76,-78,-89,0,-60,-63
-63,-51,-90,-87,-75,-87,-89,-89,0,-60,-63
-68,-50,-76,-75,-80,-82,-89,-89,0,-68,-64
-75,-55,-75,-71,-75,-86,-84,-89,0,-63,-64
-75,-49,-68,-71,-75,-75,-87,-89,0,-63,-64
-75,-51,-82,-75,-81,-90,-81,-89,0,-63,-64
-65,-51,-80,-84,-74,-89,-82,-89,0,-61,-60
-65,-59,-68,-83,-80,-76,-85,-89,0,-58,-56
-65,-52,-78,-83,-76,-72,-81,-89,0,-51,-56
-72,-52,-70,-81,-66,-74,-85,-89,0,-55,-54
-61,-58,-68,-68,-76,-74,-82,-89,0,-55,-56
-61,-64,-72,-80,-67,-69,-86,-89,0,-55,-56
-79,-63,-72,-80,-67,-71,-83,-89,0,-57,-57
-79,-50,-69,-81,-69,-76,-83,-89,0,-57,-57
-79,-53,-70,-81,-70,-75,-88,-89,0,-66,-66
-58,-51,-77,-81,-70,-79,-79,-89,0,-66,-60
-63,-51,-83,-80,-80,-75,-79,-89,0,-66,-59
-63,-52,-71,-79,-80,-78,-81,-89,0,-66,-59
-63,-61,-75,-79,-79,-84,-85,-89,0,-56,-55
-61,-52,-74,-67,-73,-78,-85,-89,0,-64,-63
-72,-54,-72,-72,-76,-77,-85,-89,0,-64,-63
-72,-51,-85,-72,-76,-84,-85,-89,0,-64,-63
-68,-53,-82,-72,-78,-86,-85,-89,0,-64,-63
-66,-49,-80,-72,-79,-71,-79,-89,0,-64,-63
-66,-55,-85,-77,-78,-83,-80,-89,0,-64,-63
-66,-55,-86,-77,-78,-87,-81,-89,0,-64,-63
-65,-55,-75,-81,-81,-83,-76,-89,0,-64,-62
-65,-49,-81,-74,-81,-78,-79,-89,0,-59,-62
-65,-49,-75,-74,-81,-78,-84,-89,0,-67,-66
-69,-49,-75,-73,-77,-76,-82,-89,0,-67,-57
-71,-55,-73,-71,-76,-77,-82,-89,0,-66,-57
-71,-51,-88,-64,-72,-78,-77,-89,0,-66,-64
-66,-47,-80,-64,-72,-82,-84,-89,0,-69,-70
-68,-48,-79,-68,-72,-78,-84,-89,0,-68,-68
-68,-48,-74,-68,-83,-84,-84,-89,0,-58,-57
-68,-47,-80,-68,-80,-82,-86,-89,0,-59,-59
-66,-51,-76,-70,-77,-78,-81,-89,0,-66,-67
-66,-50,-82,-82,-85,-83,-87,-89,0,-66,-66
-66,-53,-84,-82,-85,-85,-79,-89,0,-66,-66
-72,-52,-80,-82,-75,-85,-83,-89,0,-67,-67
-71,-56,-74,-80,-75,-82,-73,-89,0,-67,-67
-71,-52,-82,-80,-75,-82,-77,-89,0,-67,-68
-58,-55,-86,-69,-71,-76,-83,-89,0,-67,-68
-66,-45,-79,-65,-78,-83,-79,-89,0,-61,-68
-66,-45,-82,-65,-78,-82,-79,-89,0,-65,-68
-66,-48,-81,-65,-79,-86,-74,-89,0,-65,-68
-66,-46,-83,-65,-79,-89,-81,-89,0,-65,-68
-66,-53,-81,-81,-79,-87,-78,-89,0,-55,-68
-66,-53,-82,-81,-79,-88,-76,-89,0,-55,-66
-70,-51,-79,-77,-80,-83,-77,-89,0,-66,-66
-69,-50,-84,-83,-84,-72,-81,-89,0,-64,-66
-69,-50,-80,-83,-74,-79,-68,-89,0,-64,-64
-75,-53,-83,-83,-74,-84,-85,-89,0,-64,-64
-75,-51,-72,-75,-74,-76,-87,-89,0,-66,-66
-75,-52,-83,-81,-74,-77,-75,-89,0,-66,-55
-75,-49,-72,-81,-78,-82,-82,-89,0,-58,-55
-69,-50,-77,-73,-78,-80,-88,-89,0,-52,-52
-69,-50,-81,-82,-76,-81,-80,-89,0,-52,-59
-69,-50,-75,-82,-76,-81,-84,-89,0,-52,-59
-69,-50,-71,-78,-76,-80,-84,-89,0,-65,-63
-75,-52,-84,-78,-74,-82,-78,-89,0,-65,-64
-75,-55,-81,-78,-70,-72,-77,-89,0,-65,-67
-75,-55,-81,-79,-76,-73,-77,-89,0,-58,-58
-70,-57,-70,-80,-70,-81,-85,-91,0,-52,-53
-70,-53,-78,-80,-71,-75,-86,-88,0,-52,-53
-68,-51,-80,-80,-71,-82,-77,-88,0,-52,-53
-70,-54,-72,-76,-70,-81,-82,-88,0,-52,-53
-70,-64,-78,-84,-79,-72,-85,-88,0,-52,-53
-70,-64,-71,-84,-67,-85,-79,-88,0,-57,-57
-71,-62,-77,-78,-74,-87,-80,-88,0,-56,-56
-78,-62,-69,-81,-75,-71,-80,-93,0,-55,-55
-78,-67,-74,-81,-70,-79,-88,-93,0,-55,-55
-74,-67,-70,-81,-70,-80,-85,-93,0,-58,-55
-69,-60,-74,-74,-72,-83,-85,-93,0,-60,-61
-69,-58,-74,-79,-72,-80,-86,-90,0,-52,-53
-70,-60,-72,-79,-68,-75,-86,-90,0,-58,-58
-70,-59,-73,-84,-69,-75,-86,-90,0,-58,-56
-70,-55,-66,-77,-79,-67,-83,-90,0,-58,-56
-70,-51,-82,-77,-69,-82,-79,-90,0,-58,-56
-68,-52,-68,-77,-77,-73,-82,-90,0,-58,-56
-74,-49,-83,-77,-77,-81,-83,-90,0,-54,-53
-74,-49,-78,-77,-77,-76,-89,-90,0,-54,-53
-74,-49,-83,-77,-74,-74,-82,-90,0,-54,-66
-70,-48,-75,-79,-78,-84,-76,-90,0,-54,-62
-70,-45,-84,-73,-78,-78,-77,-90,0,-54,-62
-68,-55,-84,-73,-78,-84,-81,-90,0,-54,-60
-66,-51,-72,-74,-70,-81,-77,-90,0,-54,-53
-66,-56,-77,-72,-76,-77,-77,-90,0,-49,-53
-66,-49,-79,-72,-76,-87,-87,-90,0,-66,-66
-68,-47,-81,-72,-76,-79,-73,-90,0,-66,-66
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
