StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-58,-46,-84,-60,-83,-87,-70,0,0,-69,-65
-58,-51,-84,-69,-83,-94,-79,0,0,-65,-65
-65,-47,-84,-69,-79,-89,-74,0,0,-65,-65
-65,-46,-86,-80,-79,-87,-68,0,0,-58,-58
-65,-47,-81,-66,-72,-85,-72,0,0,-60,-53
-65,-44,-84,-70,-83,-89,-67,0,0,-60,-53
-57,-49,-86,-78,-83,-87,-64,0,0,-56,-54
-57,-47,-81,-70,-83,-87,-71,0,0,-68,-54
-57,-51,-89,-70,-83,-90,-67,0,0,-68,-66
-64,-51,-89,-70,-83,-86,-76,0,0,-68,-66
-58,-47,-84,-73,-81,-88,-68,0,0,-68,-66
-58,-49,-84,-68,-81,-87,-77,0,0,-68,-66
-64,-53,-88,-68,-81,-90,-74,0,0,-68,-66
-62,-52,-82,-68,-81,-88,-68,0,0,-68,-66
-62,-58,-90,-69,-81,-92,-76,0,0,-68,-66
-62,-57,-90,-78,-81,-93,-84,0,0,-68,-66
-56,-60,-84,-65,-84,-88,-78,0,0,-68,-69
-59,-51,-74,-71,-84,-83,-75,0,0,-61,-62
-59,-57,-87,-71,-84,-90,-83,0,0,-61,-62
-65,-57,-88,-71,-84,-88,-79,0,0,-65,-62
-62,-53,-84,-69,-77,-86,-79,0,0,-65,-62
-62,-54,-76,-82,-77,-86,-82,0,0,-65,-62
-58,-54,-84,-73,-77,-88,-82,0,0,-65,-62
-62,-49,-91,-70,-82,-92,-84,0,0,-77,-77
-62,-60,-86,-81,-82,-85,-84,0,0,-77,-77
-62,-60,-90,-70,-82,-91,-87,0,0,-78,-77
-55,-59,-89,-70,-84,-87,-81,0,0,-68,-67
-53,-59,-86,-65,-84,-92,-81,0,0,-68,-67
-53,-50,-89,-65,-80,-92,-82,0,0,-68,-67
-61,-55,-87,-65,-80,-86,-81,0,0,-69,-67
-61,-54,-90,-72,-78,-89,-81,0,0,-65,-67
-61,-56,-89,-85,-78,-90,-83,0,0,-65,-67
-59,-56,-89,-68,-78,-85,-76,0,0,-66,-67
-66,-53,-90,-68,-78,-94,-80,0,0,-66,-66
-66,-54,-91,-65,-78,-88,-81,0,0,-74,-66
-66,-57,-84,-65,-85,-90,-81,0,0,-63,-65
-67,-50,-81,-65,-85,-82,-81,0,0,-63,-66
-68,-51,-86,-73,-80,-85,-82,0,0,-63,-66
-68,-57,-83,-73,-80,-85,-81,0,0,-71,-71
-58,-57,-80,-69,-83,-88,-81,0,0,-72,-68
-64,-59,-87,-78,-79,-86,-81,0,0,-72,-68
-64,-64,-91,-78,-79,-89,-82,0,0,-67,-68
-66,-58,-87,-78,-79,-87,-82,0,0,-67,-69
-61,-56,-87,-66,-79,-87,-75,0,0,-67,-69
-58,-58,-88,-64,-83,-85,-84,0,0,-73,-69
-58,-58,-78,-64,-83,-91,-86,0,0,-73,-69
-58,-58,-87,-70,-83,-91,-90,0,0,-73,-69
-54,-56,-91,-72,-83,-88,-83,0,0,-73,-69
-54,-55,-83,-72,-83,-91,-83,0,0,-73,-71
-70,-51,-90,-70,-83,-90,-78,0,0,-70,-69
-67,-54,-87,-70,-81,-85,-81,0,0,-70,-69
-67,-51,-89,-69,-81,-89,-72,0,0,-70,-69
-66,-52,-88,-69,-81,-83,-71,0,0,-70,-69
-66,-47,-85,-69,-81,-78,-67,0,0,-70,-69
-66,-47,-87,-73,-81,-78,-66,0,0,-70,-69
-66,-51,-85,-74,-81,-88,-70,0,0,-70,-69
-55,-45,-82,-72,-81,-87,-72,0,0,-70,-69
-62,-47,-85,-64,-81,-79,-75,0,0,-70,-69
-62,-50,-85,-64,-81,-79,-74,0,0,-70,-69
-69,-52,-90,-64,-81,-92,-70,0,0,-70,-69
-72,-51,-89,-71,-76,-85,-72,0,0,-70,-69
-72,-63,-81,-71,-77,-90,-71,0,0,-59,-60
-72,-45,-83,-71,-79,-87,-74,0,0,-59,-60
-69,-53,-89,-85,-79,-84,-67,0,0,-67,-60
-64,-44,-82,-69,-78,-85,-82,0,0,-67,-60
-64,-47,-87,-69,-78,-89,-77,0,0,-73,-74
-64,-46,-81,-69,-79,-84,-70,0,0,-63,-66
-64,-52,-75,-66,-75,-76,-73,0,0,-65,-63
-64,-50,-80,-66,-75,-81,-66,0,0,-55,-59
-66,-45,-88,-66,-75,-90,-69,0,0,-68,-59
-58,-49,-90,-73,-75,-90,-79,0,0,-68,-59
-58,-49,-88,-70,-75,-85,-78,0,0,-68,-70
-58,-49,-90,-70,-75,-91,-78,0,0,-65,-70
-50,-49,-86,-70,-75,-88,-78,0,0,-60,-60
-69,-47,-83,-69,-75,-88,-71,0,0,-60,-60
-69,-50,-87,-69,-75,-87,-74,0,0,-60,-60
-71,-47,-87,-69,-75,-82,-74,0,0,-68,-70
-71,-48,-90,-81,-82,-85,-70,0,0,-68,-65
-71,-52,-85,-81,-67,-85,-71,0,0,-68,-65
-60,-44,-80,-81,-67,-87,-72,0,0,-62,-64
-65,-51,-87,-73,-81,-89,-68,0,0,-62,-64
-65,-55,-89,-81,-81,-88,-84,0,0,-62,-64
-65,-52,-88,-81,-81,-90,-78,0,0,-65,-64
-65,-52,-90,-65,-81,-90,-74,0,0,-70,-69
-65,-53,-87,-78,-81,-88,-83,0,0,-70,-69
-65,-49,-90,-78,-82,-93,-82,0,0,-66,-69
-55,-49,-91,-78,-74,-81,-83,0,0,-67,-64
-55,-54,-87,-63,-74,-88,-77,0,0,-67,-64
-55,-56,-92,-67,-74,-82,-83,0,0,-81,-64
-67,-58,-89,-64,-81,-85,-83,0,0,-71,-70
