StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,CMP_LAB1,CMP_LAB2
-60,-53,-89,-72,-81,-88,-69,-69,-68
-68,-52,-87,-77,-84,-87,-69,-65,-66
-68,-46,-88,-72,-84,-89,-69,-65,-62
-70,-47,-83,-69,-84,-83,-72,-65,-65
-70,-46,-82,-77,-84,-87,-73,-68,-70
-70,-49,-85,-77,-84,-85,-73,-68,-70
-64,-45,-87,-77,-84,-81,-71,-59,-70
-60,-47,-82,-67,-84,-84,-70,-63,-64
-69,-51,-84,-70,-81,-84,-70,-68,-65
-68,-51,-82,-74,-81,-80,-75,-68,-61
-68,-62,-85,-78,-81,-96,-69,-68,-69
-64,-49,-90,-67,-81,-86,-69,-76,-69
-66,-49,-87,-78,-81,-89,-69,-71,-71
-61,-53,-88,-78,-81,-86,-69,-70,-72
-61,-55,-87,-78,-81,-93,-69,-70,-72
-50,-56,-84,-78,-81,-85,-79,-70,-70
-59,-66,-89,-65,-81,-92,-79,-70,-70
-68,-57,-87,-70,-83,-92,-71,-70,-70
-68,-59,-85,-79,-78,-89,-71,-70,-63
-68,-56,-85,-73,-78,-89,-65,-63,-63
-66,-55,-85,-74,-78,-91,-65,-68,-68
-66,-58,-87,-70,-77,-90,-65,-68,-68
-68,-54,-88,-67,-77,-87,-65,-66,-68
-56,-54,-86,-68,-75,-86,-65,-66,-65
-57,-56,-92,-67,-82,-89,-65,-64,-65
-67,-52,-84,-67,-82,-87,-65,-64,-65
-67,-61,-87,-67,-84,-86,-65,-64,-65
-65,-55,-84,-58,-77,-88,-65,-70,-71
-60,-57,-88,-66,-77,-89,-84,-70,-71
-58,-56,-85,-77,-77,-87,-84,-65,-71
-65,-59,-84,-77,-77,-87,-84,-65,-71
-67,-56,-90,-73,-80,-91,-84,-65,-71
-70,-52,-87,-73,-83,-86,-84,-65,-71
-71,-58,-83,-70,-81,-91,-75,-68,-68
-66,-47,-88,-74,-81,-90,-72,-68,-68
