StudBME1,STUDBME2,SBME_STAFF3,SBME_STAFF,CUFE,RehabLab,lab001,BMEStudentLab3,CMP_LAB,CMP_LAB1,CMP_LAB2
-89,-72,-57,-90,-83,-58,-88,-89,0,-69,-69
-87,-72,-53,-90,-70,-56,-88,-89,0,-65,-69
-87,-67,-59,-90,-71,-61,-88,-89,0,-63,-65
-87,-66,-53,-87,-69,-63,-89,-89,0,-65,-65
-87,-74,-61,-87,-66,-59,-89,-89,0,-63,-65
-80,-74,-53,-86,-68,-53,-89,-89,0,-63,-64
-77,-71,-58,-85,-75,-58,-89,-89,0,-63,-72
-77,-72,-47,-85,-70,-52,-89,-89,0,-61,-72
-83,-70,-55,-89,-70,-60,-89,-89,0,-69,-69
-83,-65,-52,-89,-82,-54,-89,-89,0,-69,-55
-83,-65,-61,-89,-71,-54,-89,-89,0,-55,-56
-83,-65,-60,-89,-79,-59,-89,-89,0,-56,-54
-84,-68,-52,-89,-80,-52,-89,-89,0,-55,-54
-84,-67,-59,-88,-72,-55,-89,-89,0,-55,-56
-84,-67,-54,-88,-75,-56,-92,-89,0,-69,-65
-85,-72,-52,-88,-79,-56,-92,-89,0,-64,-64
-89,-72,-53,-88,-72,-53,-92,-89,0,-64,-64
-83,-80,-60,-88,-76,-52,-92,-89,0,-64,-64
-83,-80,-51,-88,-68,-57,-92,-89,0,-55,-52
-83,-74,-57,-88,-78,-56,-92,-89,0,-55,-52
-83,-72,-63,-89,-75,-55,-92,-89,0,-70,-52
-83,-72,-55,-89,-80,-59,-86,-89,0,-67,-65
-77,-72,-59,-85,-66,-51,-86,-89,0,-68,-68
-77,-72,-58,-85,-81,-57,-86,-89,0,-69,-68
-77,-72,-60,-85,-74,-60,-86,-89,0,-65,-65
-78,-72,-54,-85,-74,-55,-86,-89,0,-65,-67
-87,-80,-55,-84,-67,-54,-86,-89,0,-68,-68
-87,-80,-57,-84,-77,-65,-89,-89,0,-70,-69
-83,-80,-53,-84,-77,-58,-89,-89,0,-70,-63
-87,-72,-56,-90,-72,-63,-89,-89,0,-72,-63
-87,-80,-53,-90,-79,-54,-89,-89,0,-56,-56
-87,-80,-54,-90,-71,-53,-90,-89,0,-58,-55
-84,-72,-54,-87,-80,-58,-90,-89,0,-58,-55
-84,-76,-60,-87,-78,-60,-90,-89,0,-67,-55
-84,-83,-59,-87,-78,-55,-90,-89,0,-67,-66
-89,-85,-60,-87,-78,-59,-90,-89,0,-65,-66
-87,-75,-58,-87,-81,-54,-90,-89,0,-68,-68
-87,-75,-55,-87,-80,-55,-90,-89,0,-68,-63
-80,-75,-55,-87,-76,-52,-90,-89,0,-66,-64
-84,-69,-55,-86,-77,-50,-90,-89,0,-64,-66
-84,-72,-49,-86,-75,-56,-90,-89,0,-70,-71
-84,-75,-56,-86,-71,-60,-90,-89,0,-70,-71
-82,-80,-56,-86,-65,-55,-90,-89,0,-66,-67
-82,-80,-59,-86,-68,-58,-96,-89,0,-69,-67
-82,-80,-48,-86,-68,-49,-96,-89,0,-69,-67
-82,-69,-51,-86,-68,-49,-96,-89,0,-63,-67
-82,-69,-58,-93,-75,-49,-96,-89,0,-65,-67
-82,-71,-56,-93,-73,-58,-96,-89,0,-65,-68
-84,-71,-57,-93,-73,-55,-96,-89,0,-70,-68
-84,-71,-58,-88,-75,-56,-89,-89,0,-65,-65
-84,-74,-55,-88,-78,-49,-89,-89,0,-65,-70
-84,-74,-55,-88,-74,-50,-89,-89,0,-69,-70
-87,-73,-59,-89,-69,-57,-89,-89,0,-56,-57
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
